mes,idade,renda_mensal,tempo_emprego_anos,divida_existente,utilizacao_credito,atrasos_12m,valor_emprestimo,prob_default_real,default,score
1,46.0,4552.91,0.2,5946.61,0.137,0,9090.59,0.09229703443107098,0,0.08106931899553596
1,28.0,3421.32,5.0,2455.98,0.449,0,3371.35,0.08915413207789231,0,0.08914323063790615
1,48.0,4872.97,15.1,4506.74,0.252,0,5951.07,0.029437463197405738,0,0.024741259894090147
1,53.0,7225.44,4.6,3715.24,0.17,0,8625.4,0.023658037205531127,0,0.020652122532407727
1,43.0,3276.83,8.6,1815.51,0.08,1,2056.2,0.05342640701129671,0,0.044679761311605615
1,59.0,3276.85,10.8,1105.41,0.233,0,6031.31,0.03079398499122886,0,0.025349233338320384
1,29.0,7410.44,1.3,5675.35,0.484,0,4279.81,0.06430890794025822,0,0.06666801702773019
1,24.0,5142.76,1.2,6754.73,0.169,0,5201.47,0.09133238218831274,0,0.08451736438005804
1,18.0,2947.57,4.7,3366.15,0.075,0,6182.62,0.08235070891173535,0,0.07587906635074552
1,54.0,4647.81,2.6,2453.44,0.185,0,4473.38,0.036537569914281094,0,0.03052633517774931
1,45.0,2955.62,9.2,841.33,0.168,1,4666.7,0.064588248045562,0,0.057254315200018044
1,37.0,2952.54,11.5,5577.32,0.276,1,4416.32,0.13940024258411146,0,0.12759091460488958
1,41.0,4059.78,2.2,3089.69,0.131,1,7983.71,0.11351528358565133,0,0.10627529628490316
1,26.0,1539.21,1.4,2031.4,0.154,0,6059.48,0.1226622440317258,1,0.11431627191046961
1,65.0,1675.37,7.6,4595.3,0.09,0,5487.85,0.06713320855048065,0,0.049647609059126706
1,39.0,2827.0,1.6,694.42,0.347,1,2603.27,0.12696297400002188,0,0.12420245060779694
1,39.0,2308.21,8.6,1020.12,0.165,1,4067.2,0.08411715591108171,0,0.0756409153193609
1,46.0,4194.0,2.8,1403.82,0.145,0,7702.76,0.04362534691980484,0,0.03858149505412253
1,43.0,2419.68,5.5,3633.07,0.451,0,5008.28,0.1222833743281035,0,0.1155356639975471
1,40.0,1928.43,0.5,2864.13,0.529,1,6834.69,0.3305811348874146,0,0.3461980104034802
1,29.0,7041.26,4.9,3941.57,0.377,2,11887.66,0.1851095713765813,1,0.21303755311694064
1,43.0,3289.2,3.0,5323.45,0.498,0,8261.02,0.1763505411626893,1,0.17528228300301155
1,59.0,3753.29,4.4,4041.7,0.423,1,5149.11,0.1388818696327543,0,0.12939919831316327
1,53.0,1917.66,0.9,8278.99,0.217,1,3806.65,0.3057700280964025,0,0.2664622387279103
1,56.0,2849.87,6.7,5315.06,0.105,0,1370.9,0.05118831388528146,0,0.037875092777077325
1,32.0,3827.3,9.9,2274.05,0.177,1,4517.92,0.07014180396079357,0,0.06515430411630622
1,27.0,2169.07,1.2,1600.03,0.156,0,4175.52,0.08900784964013658,0,0.08161866543330312
1,37.0,4311.6,0.5,2328.75,0.358,0,5974.07,0.07922722503921352,0,0.07768457168069928
1,39.0,2778.63,0.1,4140.87,0.238,0,4550.75,0.11543807841642464,0,0.10368905576310616
1,50.0,3193.07,5.1,1747.95,0.044,0,4187.28,0.03473406347995375,0,0.0274081232942114
1,19.0,2777.29,4.7,4220.97,0.177,1,2018.88,0.15953866850015605,0,0.15193794979094058
1,55.0,8379.35,4.0,3891.02,0.081,0,3071.79,0.010849616061147108,0,0.008596719709777361
1,36.0,3618.9,1.3,1090.83,0.233,1,6237.44,0.11596157937291725,0,0.11450861729509731
1,33.0,2262.06,2.5,5247.79,0.456,0,11590.65,0.27411179126744495,1,0.28394758160089517
1,27.0,5271.9,4.5,3280.83,0.111,2,4680.86,0.12704292096560127,0,0.12580278963241237
